"ID","거래식별ID","점포ID","거래일자","거래시간대","상품대분류명","상품중분류명","구매건수","구매금액"
"Q00027726","A000361","AA","20140403","21","면과자","라면","2","780"
"Q00027726","A000361","AA","20140403","21","면과자","쿠키케이크","1","1600"
"Q00027726","A000363","AA","20140403","21","델리카","간편간식","1","6990"
"Q00027726","A000363","AA","20140403","21","일반식품","즉석식품","1","2500"
"Q00027726","A000364","AA","20140403","21","면과자","빵","1","1000"
"Q00027726","A000364","AA","20140403","21","면과자","스낵","1","2990"
"Q00027726","A000364","AA","20140403","21","수산","기타수산","1","13000"
"Q00027726","A000365","AA","20140403","21","델리카","식사류","2","2000"
"Q00027726","A000365","AA","20140403","21","음주류","음료","1","520"
"Q00027726","A000942","AA","20140407","20","냉장","냉장면","1","2990"
"Q00027726","A000942","AA","20140407","20","음주류","음료","1","990"
"Q00027726","A000942","AA","20140407","20","음주류","주류","1","1780"
"Q00027726","A000942","AA","20140407","20","일반식품","가공건식품","1","990"
"Q00027726","A002407","AA","20140419","22","면과자","쿠키케이크","1","2990"
"Q00027726","A003064","AA","20140424","13","야채","엽채류","1","500"
"Q00027726","A003064","AA","20140424","13","조미료류","장류","1","5990"
"Q00027726","A003573","AA","20140427","15","냉장","냉장농산","1","2780"
"Q00027726","A003573","AA","20140427","15","냉장","냉장축산","1","9980"
"Q00027726","A003573","AA","20140427","15","면과자","쿠키케이크","1","1050"
"Q00027726","A004084","AA","20140501","21","음주류","음료","1","620"
"Q00027726","A004399","AA","20140504","20","냉동","만두","1","6980"
"Q00027726","A004399","AA","20140504","20","면과자","라면","1","3990"
"Q00027726","A004399","AA","20140504","20","면과자","캔디껌류","1","3200"
"Q00027726","A004399","AA","20140504","20","조미료류","조미료","1","2090"
"Q00027726","A005122","AA","20140509","15","일상용품","구강용품","1","700"
"Q00027726","A005809","AA","20140514","20","낙농","냉장음료","1","4350"
"Q00027726","A005809","AA","20140514","20","델리카","간편간식","1","1500"
"Q00027726","A006910","AA","20140522","20","야채","두채류","1","1280"
